id,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
1,0.5445920303605314,0.36288088642659283,0.034444444444444444,0.0,0.0036591348588773187,0.005438701498235015,0.23784494086727992,0.0332,0.03125,0.5556348074179742,0.6494845360824741,0.0,0.6195652173913043,0.6035087719298246,0.5068783068783069,0.48792270531400966,0
2,0.44781783681214415,0.37396121883656513,0.035555555555555556,0.0,0.0037743283004557744,0.002318753151760509,0.2312746386333772,0.0344,0.5729166666666666,0.5570613409415119,0.6185567010309277,0.0,0.6304347826086957,0.6105263157894736,0.5037037037037038,0.4830917874396135,0
3,0.44781783681214415,0.3698060941828255,0.03666666666666667,0.0,0.00375870507966848,0.002026552551335404,0.22470433639947443,0.0356,0.6145833333333333,0.5534950071326675,0.6391752577319587,0.0,0.6376811594202898,0.6175438596491227,0.4973544973544974,0.4782608695652174,0
4,0.4402277039848197,0.37534626038781166,0.03833333333333333,0.0,0.004013581625281307,0.013134888280399467,0.21813403416557164,0.037200000000000004,0.6666666666666666,0.5813124108416546,0.6701030927835051,0.0,0.644927536231884,0.6280701754385964,0.48994708994709,0.4734299516908213,0
5,0.4345351043643264,0.3795013850415513,0.03944444444444444,0.0,0.0003643296153026025,0.014200006598078074,0.21287779237844942,0.0388,0.6770833333333333,0.534950071326676,0.6804123711340205,0.0,0.6557971014492754,0.6350877192982456,0.48042328042328053,0.45893719806763283,0
6,0.42694497153700195,0.3850415512465374,0.04111111111111111,0.0,0.00409033515938012,0.009373983778153764,0.20630749014454666,0.0408,0.65625,0.6298145506419399,0.6597938144329897,0.0,0.6630434782608695,0.6421052631578946,0.47407407407407415,0.4444444444444444,0
7,0.4231499051233396,0.3878116343490305,0.042777777777777776,0.0,0.002913884721677133,0.01348364383574556,0.1997371879106439,0.0424,0.625,0.6455064194008557,0.6288659793814433,0.0,0.6702898550724639,0.6526315789473683,0.4592592592592593,0.42995169082125606,0
8,0.4136622390891842,0.3961218836565097,0.044444444444444446,0.0011198208286674134,0.001328236281458158,0.007535947743221654,0.19316688567674115,0.044000000000000004,0.6354166666666666,0.5677603423680455,0.6391752577319587,0.0,0.677536231884058,0.6596491228070175,0.4582010582010583,0.42028985507246375,0
9,0.4022770398481974,0.407202216066482,0.04555555555555556,0.0005599104143337066,0.0005600721501425746,0.005377433630403944,0.1865965834428384,0.045200000000000004,0.625,0.4536376604850214,0.6288659793814433,0.0,0.6847826086956522,0.6666666666666666,0.4391534391534392,0.4057971014492754,0
10,0.39848197343453506,0.407202216066482,0.04666666666666667,0.0011198208286674134,0.0008814987384842657,0.009378696691063846,0.18002628120893563,0.046400000000000004,0.5729166666666666,0.5035663338088444,0.5773195876288659,0.0,0.6920289855072463,0.6736842105263158,0.42857142857142866,0.3913043478260869,0
